Designator,Mid X,Mid Y,Rotation,Layer
C101,137.5195,-139.827,0.0,top
C102,152.019,-153.797,0.0,top
C103,122.0255,-114.427,180.0,bottom
C110,138.0705,-153.67,0.0,bottom
C501,162.4545,-125.984,180.0,bottom
C502,177.6945,-125.984,180.0,bottom
C503,192.9345,-125.984,180.0,bottom
C504,208.1745,-125.984,180.0,bottom
C505,162.3275,-153.67,180.0,bottom
C506,177.6945,-153.67,180.0,bottom
C507,193.0615,-153.797,180.0,bottom
C508,208.1745,-153.67,180.0,bottom
C540,150.495,-119.253,0.0,top
C541,150.114,-101.854,0.0,top
CN1,104.902,-161.036,270.0,bottom
FB101,122.682,-153.924,180.0,bottom
R101,125.222,-112.649,270.0,bottom
R103,108.585,-154.956,270.0,top
R104,106.045,-154.956,270.0,top
R105,111.125,-154.956,270.0,top
RP500,144.233,-138.119,90.0,bottom
RP501,144.233,-143.326,270.0,bottom
RP502,153.074,-110.674,90.0,bottom
RP503,149.987,-139.459,270.0,bottom
RP503.9,155.702,-115.554,90.0,bottom
RP504,147.105,-108.909,90.0,bottom
U101,119.888,-134.62,180.0,top
U501,158.75,-103.124,0.0,top
U502,173.99,-103.124,0.0,top
U503,189.23,-103.124,0.0,top
U504,204.47,-103.124,0.0,top
U505,158.75,-130.81,0.0,top
U506,173.99,-130.81,0.0,top
U507,189.23,-130.81,0.0,top
U508,204.47,-130.81,0.0,top
U540,146.965,-127.127,0.0,top
U541,146.965,-110.109,0.0,top
X1,134.366,-146.05,180.0,top
